公司名稱,股票代號,非主管年薪中位數(萬)
雄獅,2731,59.5
鴻翊,3521,59.5
國光生,4142,59.5
阜爾運通,6914,59.5
耿鼎,1524,59.4
東隆興,4401,59.4
雙邦,6506,59.4
聯寶,6821,59.4
亞諾法,4133,59.3
振樺電,8114,59.3
味王,1203,59.2
業強,6124,59.2
同協,5460,59.1
茂迪,6244,59.1
泰霖,8080,59.1
揚明光,3504,59
君帆,4584,59
晶華,2707,58.9
金洲,4417,58.9
雙鍵,4764,58.9
建錩,5014,58.9
合邦,6103,58.9
怡華,1456,58.8
喬福,1540,58.8
冠軍,1806,58.8
世豐,2065,58.8
宣德,5457,58.8
艾華,6204,58.8
能率網通,8071,58.8
建大,2106,58.7
濟生,4111,58.6
台灣銘板,6593,58.6
泰山,1218,58.5
堤維西,1522,58.5
雲品,2748,58.5
宜新實業,4440,58.5
金穎生技,1796,58.4
王品,2727,58.4
光頡,3624,58.4
台灣精銳,4583,58.4
泰詠,6266,58.4
長佳智能,6841,58.4
達新,1315,58.3
聯一光電,3441,58.3
大立,4716,58.3
鳳凰,5706,58.3
中探針,6217,58.3
慧智,6615,58.3
金山電,8042,58.3
智晶,5245,58.2
晶采,8049,58.2
中環,2323,58.1
典範,3372,58.1
恩德,1528,58
新復興,4909,58
建達,6118,58
鑫傳,6856,58
達運光電,8045,58
昶昕,8438,58
台灣精材,3467,57.9
建德工業,6606,57.9
八貫,1342,57.8
元翎,4564,57.8
駐龍,4572,57.8
嘉彰,4942,57.8
榮星,1617,57.7
銘旺科,2429,57.7
鈺德,3050,57.7
新日興,3376,57.7
健椿,4561,57.7
網家,8044,57.7
和大,1536,57.6
士紙,1903,57.6
聯嘉,6288,57.6
希華,2484,57.5
五福,2745,57.5
倉和,6538,57.5
宏益,1452,57.4
和勤,1586,57.4
鄉林,5531,57.4
寶雅,5904,57.4
三地開發,1438,57.3
鼎元,2426,57.3
信邦,3023,57.3
瑞基,4171,57.3
平和環保-創,6771,57.3
劍麟,2228,57.2
泰藝,8289,57.2
雄順,2073,57.1
前鼎,4908,57.1
信實,6721,57.1
澤米,6742,57.1
千興,2025,57
熱映,3373,57
艾笛森,3591,57
九豪,6127,57
汎瑋材料,6967,57
樂意,7584,57
春雨,2012,56.9
建通,2460,56.9
迎廣,6117,56.9
上亞科技,6130,56.9
集盛,1455,56.8
鑽全,1527,56.8
巧新,1563,56.8
聚亨,2022,56.7
為升,2231,56.7
台驊控股,2636,56.7
勝品,6556,56.7
漢來美食,1268,56.6
統新,6426,56.6
大井泵浦,6982,56.6
泰博,4736,56.5
台名,5878,56.5
台數科,6464,56.5
精星,8183,56.5
美利達,9914,56.5
先益,3531,56.4
神準,3558,56.4
福裕,4513,56.4
久陽,5011,56.4
諾貝兒,6844,56.4
新天地,8940,56.3
昇銳,3128,56.2
炎洲流通,3171,56.2
耀勝,3207,56.2
榮創,3437,56.2
嘉聯益,6153,56.2
杏輝,1734,56.1
華東,8110,56.1
豆府,2752,56
高林,2906,55.9
台興,3426,55.9
聿新科,4161,55.9
詠昇,6418,55.9
南紡,1440,55.8
台南,1473,55.8
申豐,6582,55.8
國統,8936,55.8
力特,3051,55.7
高鋒,4510,55.7
進典,6843,55.7
新零售,3085,55.6
詩肯,6195,55.6
保瑞,6472,55.6
佳和,1449,55.5
宅配通,2642,55.5
達能,3686,55.5
上緯投控,3708,55.5
鑫永銓,2114,55.4
華廣,4737,55.4
凱崴,5498,55.4
天仁,1233,55.3
力鵬,1447,55.3
景岳,3164,55.3
兆利,3548,55.3
榮昌,3684,55.3
桓達,4549,55.3
美而快,5321,55.3
皇田,9951,55.3
大宇,1445,55.2
吉祥全,2491,55.2
東浦,3290,55.2
杏一,4175,55.2
雷虎,8033,55.2
商丞,8277,55.2
同泰,3321,55.1
桂田文創,4806,55.1
德英,4911,55.1
南光,1752,55
運錩,2069,55
律勝,3354,55
地心引力,3629,55
立軒,6222,55
錸德,2349,54.9
科風,3043,54.9
上福,6128,54.9
台郡,6269,54.9
華豐,2109,54.8
松普,5488,54.8
大東,1441,54.7
大統新創,1470,54.7
訊達電腦,6140,54.7
台生材,6649,54.7
鉅橡,8074,54.7
台蠟,1742,54.6
光鋐,4956,54.6
振發,5426,54.6
伯特光,6859,54.6
東華,1418,54.5
迎輝,3523,54.5
新巨,2420,54.4
郡都開發,4402,54.4
台表科,6278,54.4
三洋電,1614,54.3
昶和,1468,54.2
全台,3038,54.2
大億,1521,54.1
皇昌,2543,54.1
邦特,4107,54.1
炎洲,4306,54.1
上曜,1316,54
倉佑,1568,54
富晶通,3623,54
新門,5432,54
致和證,5864,54
弘裕,1474,53.9
菱生,2369,53.9
進泰電子,3465,53.9
裕國,8905,53.9
佳大,2033,53.8
晟楠,3631,53.8
寶得利,5301,53.8
洛碁,8077,53.8
好樂迪,9943,53.8
直得,1597,53.7
華義,3086,53.7
先進光,3362,53.7
長園科,8038,53.7
健信,4502,53.6
旭源,8421,53.6
宏和,1446,53.5
正達,3149,53.5
利華,1423,53.4
麗正,2302,53.4
晟鈦,3229,53.4
慶生,6210,53.4
永捷,4714,53.3
天正國際,6654,53.3
太醫,4126,53.2
江興鍛,4528,53.2
立衛,5344,53.2
中電,1611,53.1
光耀,3666,53.1
富致,6642,53.1
毅嘉,2402,53
鐿鈦,4163,53
廣穎電通,4973,53
永裕,1323,52.9
南染,1410,52.9
世德,2066,52.9
信立,4303,52.9
阿瘦,8443,52.9
寶利徠,1813,52.8
志聯,2024,52.8
燦星旅,2719,52.8
農林,2913,52.8
佰研,3205,52.8
亞都麗緻,5703,52.8
秋雨,9929,52.8
山隆,2616,52.7
佳凌,4976,52.7
華祺,5015,52.7
得力,1464,52.6
新鋼,2032,52.6
昇貿,3305,52.6
和成,1810,52.5
富榮綱,3115,52.5
得利影,6144,52.5
六角,2732,52.4
穎漢,4562,52.4
幸福,1108,52.3
王座,2751,52.3
杭特,3297,52.3
久正,6167,52.3
五鼎,1733,52.2
泓瀚,4741,52.2
邦泰,8935,52.2
強盛新,1463,52.1
華電,1603,52.1
逸昌,3567,52.1
慶豐富,9935,52.1
立德,3058,52
中茂,5205,52
福興,9924,51.9
百和,9938,51.8
六福,2705,51.7
友勁,6142,51.7
山林水,8473,51.7
新麗,9944,51.6
天品,6199,51.5
東典光電,6588,51.5
佳龍,9955,51.5
車王電,1533,51.4
世鎧,2063,51.4
公準,3178,51.4
千如,3236,51.4
達邦蛋白,6578,51.4
麗嬰房,2911,51.3
訊映,4155,51.3
益張,8342,51.3
宏佳騰,1599,51.2
大車隊,2640,51.2
旭軟,3390,51.2
弘煜科,6482,51.2
南六,6504,51.2
加高,8182,51.2
慶騰,4534,51.1
旭然,4556,51.1
大樹,6469,51.1
成信實業*-創,6969,51.1
長聖,6712,51
伯鑫,6904,51
晉椿,2064,50.9
飛寶企業,4413,50.9
立康,6242,50.9
昭輝,1339,50.8
楠梓電,2316,50.8
泰谷,3339,50.8
佑全,6929,50.8
卜蜂,1215,50.7
高興昌,2008,50.7
新建,2516,50.7
台嘉碩,3221,50.7
界霖,5285,50.7
樂事綠能,1529,50.6
天蔥,2740,50.5
雙喜,5516,50.5
安集,6477,50.5
冠好,8354,50.5
鉅明,8928,50.5
金雨,4503,50.4
邑昇,5291,50.4
台富,1454,50.3
閎暉,3311,50.3
點晶,3288,50.2
新盛力,4931,50.2
橋椿,2062,50.1
天宇,8171,50.1
易飛網,2734,50
高僑,6234,50
濾能,6823,50
富堡,8929,50
大甲,2221,49.9
天良,4127,49.9
全球傳動,4540,49.9
寶緯,4558,49.9
力麗店,5364,49.9
競國,6108,49.9
易華電,6552,49.9
三貝德,8489,49.9
北基,8927,49.9
統懋,2434,49.8
萬企,2701,49.8
鈞寶,6155,49.8
惠光,6508,49.8
斐成,3313,49.7
萬達寵物,6968,49.7
官田鋼,2017,49.6
旭品,3325,49.6
科誠,4987,49.6
創為精密,6899,49.6
琉園,9949,49.6
大魯閣,1432,49.5
康那香,9919,49.5
李洲,3066,49.4
錦明,3230,49.4
德宏,5475,49.4
奈米醫材,6612,49.4
宏遠,1460,49.2
正道,1506,49.2
映興,3597,49.2
安碁,6174,49.2
偉全,1465,49.1
華星光,4979,49.1
元晶,6443,49.1
創威,6530,49.1
大億金茂,8107,49.1
泰茂,2230,49
福懋,1434,48.9
協益,5356,48.9
老爺知,5704,48.9
維熹,3501,48.8
東研信超,6840,48.8
南俊國際,6584,48.7
天二科技,6834,48.7
嘉裕,1417,48.6
勤益控,1437,48.5
岱宇,1598,48.5
利勤,4426,48.5
柏承,6141,48.5
巨鎧精密-創,2254,48.4
加捷生醫,4109,48.4
陞泰,8072,48.4
翔耀,2438,48.1
亞洲藏壽司,2754,48.1
滿心,2916,48
韋僑,6417,48
力肯,1570,47.9
嘉鋼,2067,47.9
智基,6294,47.9
智通*,8932,47.8
建暐,8092,47.7
元山,6275,47.4
保勝光學,6517,47.4
宏亞,1236,47.3
皇將,4744,47.3
力麗,1444,47.2
瑞利,1512,47.2
光明,4420,47.2
至興,4535,47.1
環天科,3499,47
毛寶,1732,46.9
兆勁,2444,46.9
勤凱科技,4760,46.9
三商餐飲,7705,46.9
虎山,7736,46.9
東和,1414,46.8
大詠城,4538,46.6
旭暉應材,6698,46.6
微矽電子-創,8162,46.6
祺驊,1593,46.5
志旭,8067,46.5
新昕纖,4406,46.4
熒茂,4729,46.4
今國光,6209,46.4
潤泰新,9945,46.3
風青,2061,46.2
第一店,2706,46.2
健鼎,3044,46.2
皇家美食,4419,46.2
茂順,9942,46.2
日馳,1526,46
氣立,4555,45.9
工信,5521,45.9
悅城,6405,45.9
鈺鎧,5228,45.8
順發,6154,45.8
青松健康,6931,45.8
恆大,1325,45.7
潤泰全,2915,45.7
佳總,5355,45.5
謚源,2235,45.4
霹靂,8450,45.4
地球,1324,45.3
誠研,3494,45.3
吉茂,1587,45
百容,2483,45
萬在,4543,45
品安,8088,45
邁達康,9960,44.9
環科,2413,44.8
萬達光電,5220,44.7
巨庭,1539,44.5
亞帝歐,3516,44.5
尚茂,8291,44.5
米斯特,2941,44.4
海灣,3252,44.4
遠雄來,2712,44.2
光聯,5315,44.1
合騏,8937,44
萬國通,9950,44
華園,2702,43.7
耀億,4430,43.7
宏易,4530,43.7
新晶投控,3713,43.4
龍鋒,3226,43.3
力山,1515,43.1
振宇五金,2947,43.1
兆赫,2485,42.9
錩泰,1541,42.8
勝昱,4304,42.8
廣錠,6441,42.6
花王,8906,42.5
霖宏,5464,42.2
夏都,2722,41.7
三商家購,2945,41.4
福華,8085,41.2
明係,6804,41
利奇,1517,40.9
聯發,1459,40.4
劍湖山,5701,40.1
正峰,1538,40
富野,2736,40
南仁湖,5905,40
大飲,1213,39.8
愛地雅,8933,39.6
興泰,1235,38.6
谷崧,3607,38.3
冠西電,2466,37.1
