公司名稱,股票代號,非主管年薪中位數(萬)
台橡,2103,106.1
高雄銀,2836,106.1
旺玖,6233,106.1
友訊,2332,106
閎康,3587,105.4
醫揚,6569,105.4
華友聯,1436,105.2
偉康科技,6865,105.2
志聖,2467,105.1
台航,2617,104.8
正崴,2392,104.6
榮運,2607,104.6
浩鼎,4174,104.5
聯強,2347,104.4
統一,1216,104.1
東和鋼鐵,2006,104.1
優群,3217,104
裕融,9941,103.8
基泰,2538,103.7
國票金,2889,103.7
沛亨,6291,103.7
群益證,6005,103.6
亞聚,1308,103.5
蔚華科,3055,103.5
榮科,4989,103.5
東友,5438,103.5
友鋮,7718,103.5
盛餘,2029,103.4
晶睿,3454,103.4
鉅邁,8435,103.3
大汽電,8931,103
喬鼎,3057,102.9
虹冠電,3257,102.9
尚凡*,5278,102.8
欣泰,8917,102.8
新應材,4749,102.7
禾瑞亞,3556,102.6
嘉威,3557,102.6
艾恩特,3646,102.6
擎亞,8096,102.4
嘉泥,1103,102.3
亞昕,5213,102.3
長榮鋼,2211,102.1
技嘉,2376,102
天擎,6708,101.9
眾福科,3168,101.8
采鈺,6789,101.5
訊舟,3047,101.4
益登,3048,101.4
汎銓,6830,101.1
安國,8054,98.2
精英,2331,98.1
富華新,3056,98.1
安勤,3479,97.9
堡達,3537,97.9
和潤企業,6592,97.7
豐泰,9910,97.7
國揚,2505,97.6
由田,3455,97.6
康和證,6016,97.5
點序,6485,97.4
浩宇生醫,6872,97.4
英業達,2356,97.3
敦陽科,2480,97.3
新美齊,2442,97.2
宸曜,6922,97.2
三芳,1307,97.1
新麥,1580,97
德昌,5511,96.9
安普新,6743,96.9
中華,2204,96.7
同亨,5490,96.7
圓展,3669,96.4
潤德,6881,96.4
中菲行,5609,96.3
儒鴻,1476,96.1
宏泰,1612,96.1
艾訊,3088,96
泓德能源,6873,95.9
台聚,1304,95.8
達運,6120,95.7
達方,8163,95.6
昆盈,2365,95.5
臺鹽,1737,95.4
豐興,2015,95.4
東森,2614,95.4
凌華,6166,95.4
統振,6170,95.4
宏正,6277,95.4
第一保,2852,95.3
鼎天,3306,95.3
榮剛,5009,95.3
富驊,5465,95.3
淳安,6283,95.2
普鴻,6590,95.2
建準,2421,95.1
正基,6546,95.1
錩新,2415,94.9
崇友,4506,94.9
松上,6156,94.9
漢翔,2634,94.8
牧德,3563,94.8
迅得,6438,94.8
國邑*,6875,94.8
大亞,1609,94.7
飛宏,2457,94.7
櫻花建,2539,94.7
廣豐,1416,94.6
勝一,1773,94.6
百一,6152,94.6
亞通,6179,94.6
金益鼎,8390,94.6
必應,6625,94.5
宜特,3289,94.4
通泰,5487,94.4
凱碩,8059,94.4
南僑,1702,94.3
鈺邦,6449,94.3
和椿,6215,94
匯僑設計,6754,94
健喬,4114,93.9
佶優,5452,93.9
科懋,6496,93.8
奇偶,3356,93.6
藥華藥,6446,93.6
晉泰,6221,93.5
聯上發,2537,93.4
友華,4120,93.2
太欣,5302,93.1
睿生光電,6861,93.1
巨漢,6903,93.1
崧騰,3484,92.9
辛耘,3583,92.9
晟銘電,3013,92.8
大立光,3008,92.7
零壹,3029,92.6
嘉基,6715,92.4
展碁國際,6776,92.4
華電網,6163,92.3
盟立,2464,92.2
互動,6486,92.2
華新,1605,92.1
台耀,4746,92
東鹼,1708,91.9
系微,6231,91.9
美好證,6021,91.8
美律,2439,91.7
均豪,5443,91.7
安碁資訊,6690,91.7
杏昌,1788,91.6
汎德永業,2247,91.6
百德,4563,91.6
穎崴,6515,91.5
晉弘,6796,91.5
遠東新,1402,91.4
森寶,3489,91.3
衛司特,6894,91.3
信義,9940,91.3
僑威,3078,91.2
博晟生醫,6733,91.2
宏遠證,6015,91.1
華孚,6235,91.1
國際中橡,2104,90.9
泰碩,3338,90.9
群翊,6664,90.9
統一超,2912,90.8
大學光,3218,90.8
廣閎科,6693,90.8
華夏,1305,90.7
凌群,2453,90.7
聯昌,2431,89
普萊德,6263,89
生泰,1777,88.9
華冠,8101,88.9
台光電,2383,88.8
全心投控,2718,88.8
國喬,1312,88.7
捷流閥業,4580,88.7
昇益,5455,88.7
坤悅,5206,88.6
博弘,6997,88.6
羅昇,8374,88.6
欣高,9931,88.6
力致,3483,88.5
久元,6261,88.5
啟碁,6285,88.5
華通,2313,88.3
方方土霖,4527,88.3
盛達,3027,88.2
瑞智,4532,88.2
居易,6216,88.2
禾昌,6158,88.1
亞翔,6139,88
宏璟,2527,87.8
大塚,3570,87.8
邁達特,6112,87.8
台泥,1101,87.7
增你強,3028,87.7
柏騰,3518,87.7
家登,3680,87.7
旺旺保,2816,87.6
永昕,4726,87.6
四維航,5608,87.5
能率,5392,87.4
叡揚,6752,87.3
嘉晶,3016,87.2
明遠精密,7704,87.2
麗升能源,8087,87.2
揚博,2493,87
特力,2908,87
利機,3444,87
智冠,5478,87
頎邦,6147,87
勤誠,8210,87
固緯,2423,86.9
太設,2506,86.9
遠雄港,5607,86.8
京城銀,2809,86.7
晶彩科,3535,86.6
安克,4188,86.6
中裕,4147,86.5
志超,8213,86.5
日勝生,2547,86.4
關中,8941,86.4
三商壽,2867,86.3
三商,2905,86.3
亞光,3019,86.2
越峰,8121,86.1
實威,8416,86.1
佳必琪,6197,86
迅德,6292,86
矽瑪,3511,85.9
台燿,6274,85.8
青鋼,8930,85.8
如興,4414,85.6
國化,1713,85.5
普安,2495,85.5
台聯櫃,5601,85.4
大江,8436,85.4
裕隆,2201,85.3
華容,5328,85.3
勁豐,6577,85.3
燁輝,2023,85.2
卓越,2496,85.2
良維,6290,85
台苯,1310,84.9
寶陞,2948,84.9
晶技,3042,84.9
緯軟,4953,84.8
亞力,1514,84.6
穩懋,3105,84.5
長興,1717,84.4
安泰銀,2849,84.3
精測,6510,84.3
立萬利,3054,84
大銀微系統,4576,84
漢磊,3707,83.9
明基醫,4116,83.8
瀚荃,8103,83.8
傳奇,4994,83.7
宇瞻,8271,83.7
麗臺,2465,83.6
台產,2832,83.6
研通,6229,83.6
森崴能源,6806,83.4
歐格,3002,83.3
晟德,4123,83.3
蒙恬,5211,83.3
海韻電,6203,83.3
弘憶股,3312,83.2
三福化,4755,83.2
太極,4934,83.2
旭隼,6409,83.2
益航,2601,83.1
南茂,8150,83
神隆,1789,82.9
寶德,3349,82.9
台虹,8039,82.9
中興電,1513,82.8
所羅門,2359,82.8
隴華,2424,82.8
輔信,2405,82.7
中工,2515,82.7
鑫龍騰,3188,82.7
豪勉,6218,82.7
圓裕,6835,82.6
政伸,8481,82.6
精技,2414,82.5
東捷,8064,82.5
花仙子,1730,82.3
虎門科技,6791,82.3
智崴,5263,82.2
皇鼎,5533,82.2
晶碩,6491,82.2
訊聯基因,4160,82.1
寶隆,1906,82
安馳,3528,82
威潤,6465,82
全漢,3015,81.9
南寶,4766,81.9
建國,5515,81.9
大田,8924,81.9
首利,1471,81.8
欣大健康,4198,81.8
雲豹能源,6869,81.8
達麗,6177,81.7
美隆電,2477,81.6
耕興,6146,81.6
三竹,8284,81.6
美時,1795,81.5
台揚,2314,81.5
佳醫,4104,81.5
旭富,4119,81.5
大眾控,3701,81.4
精誠,6214,81.4
高力,8996,81.4
波若威,3163,81.3
聯合,4129,81.3
松崗,6240,81.3
統一實,9907,81.3
億光,2393,81.2
進階,3118,81.2
唐鋒,4609,81.2
益得,6461,81.2
綠意,2596,81.1
凱鈺,5468,81.1
永鴻生技,6936,81.1
日月光投控,3711,81
廣越,4438,81
興能高,6558,81
德勝,8048,81
精材,3374,80.9
偉聯,9912,80.9
青雲,5386,80.8
永信,3705,80.7
綠界科技*,6763,80.6
虹光,2380,80.5
智捷,8176,80.5
佳格,1227,80.4
豐達科,3004,80.4
精聯,3652,80.3
合機,1618,80.2
全友,2305,80.2
華榮,1608,80
聯穎,3550,80
盛弘,8403,80
宇峻,3546,79.8
欣陸,3703,79.8
誠泰科技,4767,79.8
映泰,2399,79.7
漢平,2488,79.7
進能服,6692,79.7
鴻呈,6913,79.5
中鴻,2014,79.4
洋華,3622,79.4
數字,5287,79.4
東元,1504,79.3
正隆,1904,79.3
中天,4128,79.3
宜鼎,5289,79.3
橘子,6180,79.3
全宇昕,6651,79.3
環泥,1104,79.2
上銀,2049,79.2
志信,2611,79.2
欣普羅,6560,79.2
博磊,3581,79.1
富旺,6219,79.1
攸泰科技,6928,79.1
聚賢研發-創,7631,79.1
皇龍,3512,79
興富發,2542,78.8
華安,6657,78.8
邑錡,7402,78.7
瀚宇博,5469,78.6
廣運,6125,78.6
群創,3481,78.5
日勝化,1735,78.4
